Id,Label,timeset,pageranks,modularity_class,componentnumber,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree
n0,ojek,,0.006261,0,0,0.090909,23,8,0.32236,0.37275,17063.450619,23
n1,driver,,0.032578,3,0,0.017683,120,7,0.371072,0.464446,118371.283745,117
n2,anak,,0.00468,4,0,0.021978,2,9,0.275377,0.312842,7011.884017,14
n3,tarif,,0.013235,3,0,0.04,49,8,0.340832,0.404482,37115.347285,50
n4,transportasi,,0.006447,7,0,0.025974,6,8,0.299963,0.346257,15819.615915,22
n5,karya,,0.001989,3,0,0.142857,3,8,0.297187,0.337824,3626.088786,7
n6,orang,,0.006869,5,0,0.009524,2,9,0.251094,0.288158,26263.972946,21
n7,kasihan,,0.002306,3,0,0.166667,6,8,0.277951,0.315636,1287.890404,9
n8,berkibar,,0.00067,7,0,0,0,9,0.257537,0.281653,765.581302,2
n9,dukung,,0.001403,0,0,0.2,2,8,0.280279,0.312673,2957.022949,5
n10,menolak,,0.001642,5,0,0.1,1,9,0.265982,0.293104,7930.783032,5
n11,online,,0.012609,7,0,0.039394,39,8,0.34375,0.404532,60173.037918,45
n12,terima,,0.000954,0,0,0.333333,1,8,0.276515,0.308704,629.075097,3
n13,kisah,,0.001518,2,1,0,0,1,1,1,1,2
n14,gojek,,0.02747,3,0,0.022263,108,8,0.370729,0.45584,120318.672044,99
n15,undang,,0.000523,4,0,0,0,11,0.188897,0.198982,0,1
n16,error,,0.001871,3,0,0.285714,6,8,0.292319,0.331618,1048.390335,7
n17,kekuatan,,0.000641,19,0,0,0,14,0.116208,0.120088,0,1
n18,star,,0.000675,0,0,0,0,10,0.200199,0.214453,6.75,2
n19,taksi,,0.002693,4,0,0.111111,5,8,0.266423,0.29741,2267.877238,10
n20,terbesar,,0.00114,19,0,0,0,13,0.131467,0.137215,802,2
n21,trending,,0.002036,7,0,0.095238,2,9,0.250859,0.277632,3655.832046,7
n22,teman,,0.000393,3,0,0,0,8,0.270735,0.301348,0,1
n23,ikuti,,0.000432,1,0,0,0,10,0.2008,0.213902,0,1
n24,sopir,,0.00292,1,0,0,0,9,0.251173,0.278679,7266.177858,9
n25,nyata,,0.000802,2,1,0,0,2,0.666667,0.75,0,1
n26,onethousandsixhundred,,0.005025,3,0,0.105263,18,8,0.305788,0.354946,11461.631588,19
n27,rp,,0.002346,3,0,0.214286,6,8,0.29631,0.33721,2559.513806,8
n28,metromini,,0.000802,1,0,0,0,10,0.201052,0.215148,811.125796,2
n29,paraf,,0.000748,6,0,0,0,11,0.181674,0.192683,665.833333,2
n30,samarinda,,0.001135,6,0,0,0,12,0.153949,0.162373,535.333333,3
n31,ajja,,0.000624,3,0,1,1,9,0.221273,0.240002,0,2
n32,kebijakan,,0.001397,3,0,0.1,1,9,0.259786,0.286899,1769.756686,5
n33,nurunin,,0.000882,3,0,0.333333,1,9,0.279986,0.31285,570.572694,3
n34,sapi,,0.001041,46,2,0,0,1,1,1,0,1
n35,system,,0.000819,3,0,0.666667,2,9,0.247763,0.269236,11.869048,3
n36,toilet,,0.002149,3,0,0.178571,5,9,0.259199,0.289343,1219.731139,8
n37,twothousand,,0.002538,3,0,0.138889,5,8,0.281557,0.32034,2906.214706,9
n38,berhenti,,0.001456,5,0,0,0,10,0.201556,0.22059,1379.070187,4
n39,ceo,,0.000908,0,0,0.333333,1,9,0.27453,0.305266,371.989683,3
n40,jonan,,0.002814,0,0,0.027778,1,10,0.218385,0.24184,3153.247648,9
n41,memperbarui,,0.001698,5,0,0,0,10,0.210927,0.226412,3170.375826,4
n42,mengalahkan,,0.00155,19,0,0,0,12,0.151281,0.159234,2402,3
n43,kayak,,0.001,3,0,0,0,9,0.231679,0.251998,803.033333,3
n44,angkutan,,0.001036,0,0,0,0,9,0.256222,0.280054,830.856151,3
n45,aturan,,0.003179,4,0,0.127273,7,9,0.302448,0.342294,15034.492305,11
n46,driverny,,0.000612,3,0,0,0,9,0.225879,0.244398,191.373036,2
n47,kakak,,0.002248,3,0,0.222222,8,8,0.285765,0.323305,1332.615915,9
n48,maaf,,0.002022,3,0,0.392857,11,8,0.299292,0.339607,567.570538,8
n49,nasib,,0.000393,3,0,0,0,8,0.270735,0.301348,0,1
n50,protes,,0.002004,3,0,0.047619,1,10,0.227479,0.248745,3635.149986,7
n51,sabar,,0.001504,3,0,0.466667,7,8,0.296201,0.334742,127.73472,6
n52,semena,,0.001248,3,0,0,0,9,0.240635,0.261198,856.014186,4
n53,tolong,,0.001946,3,0,0.066667,1,9,0.257125,0.283022,1722.198485,6
n54,berhasil,,0.001437,6,0,0,0,9,0.258199,0.282978,4243.501218,4
n55,gelar,,0.000871,1,0,0,0,11,0.167956,0.177213,30.872619,2
n56,gubernur,,0.001095,6,0,0,0,11,0.181756,0.193513,1732.333333,3
n57,indonesia,,0.003312,7,0,0.090909,5,9,0.285055,0.322737,8623.138151,11
n58,pakai,,0.006492,3,0,0.038961,9,7,0.304744,0.348061,19346.132693,22
n59,pekerjaan,,0.002317,5,0,0.047619,1,9,0.232215,0.257067,2992.851736,7
n60,perubahan,,0.00142,5,0,0,0,10,0.22006,0.23807,3520.356857,4
n61,save,,0.000821,3,0,0,0,9,0.270735,0.299829,802,2
n62,takut,,0.002528,5,0,0,0,9,0.238491,0.265865,6977.763747,8
n63,tinggalkanlah,,0.00073,8,3,0,0,3,0.5,0.611111,0,1
n64,tugas,,0.000838,6,0,0,0,10,0.209551,0.222574,1324.953114,2
n65,tukang,,0.001207,0,0,0.5,3,9,0.274906,0.306501,802,4
n66,payung,,0.000968,3,0,0,0,10,0.185151,0.195411,1602,2
n67,aksi,,0.001652,0,0,0,0,9,0.248376,0.27153,3871.172309,5
n68,berjiwa,,0.001234,18,0,0.333333,1,11,0.178405,0.18969,802,3
n69,bid,,0.001128,3,0,0.5,3,8,0.296858,0.336132,399.435773,4
n70,demo,,0.0052,3,0,0.131579,25,8,0.325233,0.373921,21314.316264,20
n71,diturunin,,0.000618,3,0,1,1,8,0.273129,0.305279,0,2
n72,drivernya,,0.001943,3,0,0.321429,9,8,0.290731,0.32582,459.096502,8
n73,kembalikan,,0.000657,3,0,0,0,9,0.255245,0.279629,80.339774,2
n74,menyiksa,,0.000618,3,0,1,1,8,0.278143,0.311499,0,2
n75,penurunan,,0.000381,3,0,0,0,9,0.254275,0.27769,0,1
n76,perusahaan,,0.001309,18,0,0,0,9,0.260207,0.286426,5255.106015,4
n77,susah,,0.001277,3,0,0.166667,1,8,0.295438,0.332476,3756.648891,4
n78,belajar,,0.000793,5,0,0,0,11,0.167851,0.178824,2.45,2
n79,berani,,0.001161,5,0,0,0,10,0.192797,0.207579,826.825092,3
n80,berbasis,,0.000643,7,0,1,1,9,0.259702,0.285202,0,2
n81,berkat,,0.000832,6,0,0,0,11,0.185665,0.195521,22.663095,2
n82,blue,,0.001041,47,4,0,0,1,1,1,0,1
n83,cari,,0.001676,3,0,0,0,9,0.236455,0.257305,3117.258958,5
n84,diselamatkan,,0.000815,6,0,0,0,10,0.206003,0.218995,267.518262,2
n85,ijin,,0.001835,4,0,0,0,11,0.193587,0.207773,4791,4
n86,kawan,,0.000984,0,0,0.333333,1,9,0.24437,0.265588,802,3
n87,kesenangan,,0.001351,8,3,0,0,2,0.75,0.833333,2,2
n88,menghalangi,,0.001351,8,3,0,0,2,0.75,0.833333,2,2
n89,menghindari,,0.001666,6,0,0,0,10,0.201962,0.221512,4399.929842,4
n90,nyari,,0.000858,3,0,0,0,10,0.194149,0.207487,1602,2
n91,tweet,,0.000775,6,0,0,0,10,0.219459,0.23491,555.144833,2
n92,wars,,0.00119,0,0,0.333333,2,9,0.238704,0.261968,652.107288,4
n93,abang,,0.002357,3,0,0.25,9,8,0.297959,0.338848,2363.299709,9
n94,uang,,0.002513,3,0,0.035714,1,9,0.240563,0.265938,6175.392065,8
n95,bantu,,0.001524,7,0,0.2,2,8,0.28833,0.323254,4847.476466,5
n96,bensin,,0.003049,3,0,0.055556,2,9,0.224364,0.249308,3663.481533,9
