date,tweets,user,clean_text1
2013-08-23,Besok jam 15 :00 WIB saya akan menjelaskan apa itu #EcoDefender di program Ikonia @Metro_TV .  #BaliTolakReklamasi cc : @rhdiens,JRX_SID,besok jam wib program ikonia
2013-08-22,#FF @forbali13 Forum Rakyat #BaliTolakReklamasi - yg pro juga dipersilakan utk follow agar tahu jika selama ini kamu dibohongi .,JRX_SID,forum rakyat pro dipersilakan follow dibohongi
2013-08-22,"Senang melihat teman -teman yg selama ini saya pikir pintar , serempak  posting foto #BaliTolakReklamasi di IG /twitter mereka :)",JRX_SID,senang teman teman pikir pintar serempak posting foto twitter
2013-08-22,RT @juniez_rock Sudah seharusnya #BaliTolakReklamasi kalo dampaknya seperti ini ->  JRX @gendovara @Adi_Hydrant,JRX_SID,kalo dampaknya jrx
2013-08-22,RT @xReymonDx Radar Bali hari ini ttg lagu #BaliTolakReklamasi dari artis2 Bali @forbali13 JRX @BaleBengong,JRX_SID,radar bali lagu artis bali jrx
2013-08-22,Yang dukung gerakan #BaliTolakReklamasi silakan follow @forbali13 (Forum Rakyat Bali Tolak Reklamasi ) utk info2 akurat ttg gerakan ini .,JRX_SID,dukung gerakan silakan follow forum rakyat bali tolak reklamasi info akurat gerakan
2013-08-21,"Saya baru mengganti ava saya dengan logo #BaliTolakReklamasi - kalian juga bisa memakai logo ini , tak ada paksaan .",JRX_SID,mengganti avatar logo memakai logo paksaan
2013-08-19,Revolusi itu mestinya anggun seperti @8rianna_ yg suarakan #BaliTolakReklamasi with @DEVlLDICE,JRX_SID,revolusi mestinya anggun suarakan
2013-08-19,Kaos #BaliTolakReklamasi dari @radic_co (clothing milik @WalhiBali ). Dukung gerakan ini . Dapatkan di 081916477959,JRX_SID,kaos clothing milik dukung gerakan dapatkan
2013-08-19,"Sudah ya , saya mau lari di Pantai Seminyak . Jangan lupa tetap #BaliTolakReklamasi dan sikat siapapun yg mendukungnya !",JRX_SID,lari pantai seminyak lupa sikat mendukungnya
2013-08-19,2 . Pengisi lagu #BaliTolakReklamasi adalah @TheBullheadBali @sari_nymphea @8rianna_ @THEHYDRANTBALl dll .,JRX_SID,pengisi lagu
2013-08-19,Take vokal utk lagu #BaliTolakReklamasi - @sarasdewi @8rianna_ & @sari_nymphea - cantik !,JRX_SID,vokal lagu cantik
2013-08-18,"Bulan depan , seminggu sekali akan ada konser #BaliTolakReklamasi di @Twice_Bali - band2 yg hendak terlibat silakan hub . @ekoramone . Thanx .",JRX_SID,seminggu konser band terlibat silakan hubung
2013-08-18,#BaliTolakReklamasi RT @TuEnik_Ladyrose JRX & @8rianna_ at PSD Music Fest :),JRX_SID,jrx psd music festival
2013-08-17,Terima kasih utk ucapan dirgahayu 18 thn SID . Kadonya cantik : Gubernur Bali nyerah & mencabut SK reklamasi Teluk Benoa . #BaliTolakReklamasi,JRX_SID,terima kasih ucapan dirgahayu eighteen sid kadonya cantik gubernur bali nyerah mencabut sk reklamasi teluk benoa
2013-08-14,#BaliTolakReklamasi - sudah saatnya Bali jengah dan melawan kepentingan -kepentingan pusat yg hanya <e2><80><a6>,JRX_SID,bali jengah melawan kepentingan kepentingan pusat
2013-08-14,#BaliTolakReklamasi w / @madebayak (Geekssmile ) @gunakupit (Nosstress ) @baliekarock (Wali ) @copoktbh (Bullhead ),JRX_SID,geekssmile nosstress wali bullhead
2013-08-14,Di ruang DPRD ini akan berlangsung dialog ttg #BaliTolakReklamasi (diluar gedung polisi mulai <e2><80><a6>,JRX_SID,ruang dprd dialog diluar gedung polisi
2013-08-14,2 . Suasana sebelum dengar pendapat di DPRD Bali utk #BaliTolakReklamasi !,JRX_SID,suasana dengar pendapat dprd bali
2013-08-11,Gerakan #BaliTolakReklamasi bukan hanya milik orang dewasa ! #EcoDefender #FTG,JRX_SID,gerakan milik orang dewasa
2015-11-30,"Coz the Devils never rest ! 
#INK13 #BaliTolakReklamasi",JRX_SID,devils rest
2015-11-25,"""True to your heart , there <e2><80><99>s nothing stronger than the bullets of your mind "" ~ JRX

#INK13 #BaliTolakReklamasi",JRX_SID,true heart stronger bullets mind jrx
2015-11-19,NP - Whisper In Time - Bad Religion . Such a beautiful song before go to a war . Sampai jumpa jam 2 siang ini di Renon ! #BALITOLAKREKLAMASI,JRX_SID,np whisper time bad religion beautiful song war jumpa jam siang renon
2015-11-01,Selalu support band yg TULUS - KONSISTEN dukung perjuangan #BaliTolakReklamasi - spt @parau666 raksasa metal Bali .,JRX_SID,dukung band tulus konsisten dukung perjuangan raksasa metal bali
2015-10-31,"Bukan krn mereka dukung #BALITOLAKREKLAMASI , tp jujur saya rasa @the_dissland = salah1 band terbaik Bali . Lirik , attitude , nada , SELARAS !",JRX_SID,dukung jujur salah1 band terbaik bali lirik attitude nada selaras
2015-10-24,"Interview CEO @TheBodyShopIndo ibu @SuzyHut ttg #BaliTolakReklamasi , Munir dll >  - and I 'm a proud TBS rider !",JRX_SID,interview ceo munir proud tbs rider
2015-10-15,Ada 70 pcs kaos #BALITOLAKREKLAMASI original yg diijual di Jogja hari ini saja . Hasilnya 100 % utk perjuangan . Cek :,JRX_SID,seventy pcs kaos original diijual jogja onehundred perjuangan cek
2015-09-08,"TIDAK . Luar Bali hub . @radic_co ya . RT @ragildeni1 Mau nanya bli JRX , apa setiap konser SID ada stand yg ngejual kaos #BaliTolakReklamasi ?",JRX_SID,bali hubung nanya jrx konser sid stand ngejual kaos
2015-09-06,& @heruwa of @shaggydogjogja berkaos #BaliTolakReklamasi @ Soundrenaline GWK . Penguasa rakus tak bs redam kebenaran !,JRX_SID,berkaos soundrenaline gwk penguasa rakus redam kebenaran
